WR, Yards Rec Until TD
L.Fitzgerald,33
T.Gonzalez,61
W.McGahee,3
B.Celek,14
B.Stokley,87
P.Harvin,36
D.Hester,66
C.Stuckey,61
R.Wayne,133
S.Nelson,11
M.Colston,9
M.Manningham,58
V.Jackson,44
S.Holmes,83
N.Burleson,68
M.Austin,42
T.Gonzalez,97
L.Evans,32
K.Davis,23
M.Manningham,115
T.Scheffler,31
C.Johnson,25
L.Coles,16
J.Wright,5
D.Bowe,56
D.Clark,111
D.Keller,31
M.Colston,24
D.Sproles,100
A.Johnson,37
L.Robinson,40
R.Wayne,168
D.Mason,150
R.Denney,25
W.Parker,27
D.Rosario,58
B.Johnson,21
J.Jones,39
S.Rice,47
C.Baker,42
B.Hartsock,2
B.Marshall,54
M.Bradley,23
J.Jones,78
D.Fells,25
S.Smith,217
W.Heller,14
C.Ochocinco,111
K.Moreno,9
S.Slaton,71
R.Wayne,173
M.Sims-Walker,64
S.Smith,226
B.Hartline,17
J.Finley,88
D.Mason,227
M.Moore,30
V.Davis,80
A.Bryant,38
L.Fitzgerald,114
R.Rice,106
C.Portis,25
W.Welker,8
H.Miller,82
M.Austin,258
B.Edwards,52
M.Manningham,155
J.Maclin,55
T.Houshmandzadeh,181
R.White,134
V.Shiancoe,56
R.Wayne,176
J.Knox,162
O.Daniels,122
J.Jones,131
D.Avery,88
V.Shiancoe,75
R.Moss,191
R.Meachem,55
L.Evans,99
Z.Miller,219
H.Miller,115
V.Jackson,184
L.Fitzgerald,126
L.Evans,124
C.Henry,117
S.Havner,45
R.White,145
S.Slaton,102
M.Floyd,136
M.Colston,218
H.Nicks,62
D.Clowney,60
M.Wallace,156
R.Wayne,237
W.Welker,88
D.Thomas,38
L.Stephens-Howling,22
D.Mason,267
S.Hurd,50
D.Fells,108
V.Shiancoe,103
V.Davis,100
M.Colston,246
B.Edwards,128
B.Celek,80
V.Jackson,261
N.Washington,47
T.Gonzalez,184
L.Fitzgerald,164
A.Caldwell,109
H.Ward,232
J.Addai,105
M.Sims-Walker,158
R.Moss,359
R.Meachem,132
V.Jackson,292
B.Celek,119
B.Pettigrew,54
J.Hill,12
J.Jones,241
J.Carlson,106
S.Smith,404
S.Havner,47
J.Addai,120
K.Sperry,5
W.Heller,34
J.Cotchery,272
M.Tolbert,42
D.Avery,139
L.Evans,187
B.Marshall,213
D.Clark,296
R.Williams,291
J.Avant,84
P.Crayton,145
L.Naanee,72
M.Massaquoi,189
G.Jennings,254
S.Slaton,122
T.Owens,344
H.Ward,314
P.Harvin,171
R.Moss,369
K.Boss,39
Z.Miller,266
A.Boldin,239
M.Clayton,149
J.Norwood,63
S.Holmes,464
B.Hartline,101
J.Foschi,71
M.Austin,460
B.Stokley,104
D.Lee,75
V.Leach,61
P.Harvin,203
P.Thomas,95
D.Jackson,139
A.Gates,249
V.Davis,205
K.Britt,143
V.Shiancoe,161
L.Weaver,10
B.Edwards,223
E.Bennett,223
C.Johnson,310
M.Massaquoi,200
J.Finley,196
A.Collie,87
N.Hughes,35
D.Graham,97
R.Moss,427
R.Williams,314
S.Holmes,503
V.Davis,238
F.Davis,64
R.Bush,85
D.Mason,434
J.Knox,300
M.Austin,537
A.Johnson,439
A.Collie,92
T.Owens,365
S.Rice,364
S.Smith,633
B.Celek,176
